"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"18-Jun-2024","25-Jul-2024","CE","23,000.00","800.10","880.00","800.10","837.60","845.00","837.60","1,88,975","4,50,54,38,241.25","15,90,13,241.25","8,17,550","19,200"
"14-Jun-2024","25-Jul-2024","CE","23,000.00","757.30","793.00","701.00","776.75","767.25","776.75","2,34,900","5,58,08,25,963.75","17,81,25,963.75","7,98,350","-7,950"
"13-Jun-2024","25-Jul-2024","CE","23,000.00","799.95","806.00","731.95","742.50","747.90","742.50","3,85,100","9,14,98,23,946.25","29,25,23,946.25","8,06,300","96,525"
"12-Jun-2024","25-Jul-2024","CE","23,000.00","730.05","832.00","720.05","734.75","738.10","734.75","2,97,600","7,07,48,17,685.00","23,00,17,685.00","7,09,775","30,775"
"11-Jun-2024","25-Jul-2024","CE","23,000.00","725.00","816.50","689.20","715.55","723.85","715.55","3,05,075","7,24,66,27,815.00","22,99,02,815.00","6,79,000","55,275"
"10-Jun-2024","25-Jul-2024","CE","23,000.00","765.70","830.00","699.30","720.45","708.30","720.45","3,66,750","8,71,88,46,611.25","28,35,96,611.25","6,23,725","-21,075"
"07-Jun-2024","25-Jul-2024","CE","23,000.00","517.50","787.00","481.55","773.30","780.15","773.30","7,60,425","18,00,05,22,707.50","51,07,47,707.50","6,44,800","88,275"
"06-Jun-2024","25-Jul-2024","CE","23,000.00","430.00","569.10","404.45","517.50","535.00","517.50","7,66,475","18,01,38,56,732.50","38,49,31,732.50","5,56,525","1,05,600"
"05-Jun-2024","25-Jul-2024","CE","23,000.00","320.00","439.30","185.00","412.05","395.00","412.05","10,04,975","23,41,53,96,416.25","30,09,71,416.25","4,50,925","-1,05,700"
"04-Jun-2024","25-Jul-2024","CE","23,000.00","895.00","895.00","245.00","311.75","300.45","311.75","13,96,850","32,72,99,57,918.75","60,24,07,918.75","5,56,625","87,700"
"03-Jun-2024","25-Jul-2024","CE","23,000.00","823.00","1,150.00","705.05","922.65","998.60","922.65","4,17,375","9,95,10,81,038.75","35,14,56,038.75","4,68,925","-29,075"
"31-May-2024","25-Jul-2024","CE","23,000.00","580.75","609.90","513.40","594.80","594.00","594.80","4,49,150","10,58,15,77,446.25","25,11,27,446.25","4,98,000","1,59,600"
"30-May-2024","25-Jul-2024","CE","23,000.00","660.00","660.00","530.00","552.75","564.10","552.75","2,64,025","6,22,30,97,490.00","15,05,22,490.00","3,38,400","86,825"
"29-May-2024","25-Jul-2024","CE","23,000.00","710.00","725.40","658.00","665.55","664.00","665.55","2,38,550","5,65,13,24,821.25","16,46,74,821.25","2,51,575","63,950"
"28-May-2024","25-Jul-2024","CE","23,000.00","772.10","808.95","744.45","756.65","752.05","756.65","75,425","1,79,33,22,126.25","5,85,47,126.25","1,87,625","5,500"
"27-May-2024","25-Jul-2024","CE","23,000.00","792.30","875.95","737.00","772.15","786.00","772.15","1,31,325","3,12,75,47,247.50","10,70,72,247.50","1,82,125","19,100"
"24-May-2024","25-Jul-2024","CE","23,000.00","744.75","813.10","737.10","772.95","774.95","772.95","74,650","1,77,48,96,465.00","5,79,46,465.00","1,63,025","10,500"
"23-May-2024","25-Jul-2024","CE","23,000.00","603.05","773.65","590.00","759.75","756.00","759.75","1,46,100","3,46,37,78,822.50","10,34,78,822.50","1,52,525","35,475"
"22-May-2024","25-Jul-2024","CE","23,000.00","598.80","609.20","562.00","599.85","603.00","599.85","31,875","75,19,69,712.50","1,88,44,712.50","1,17,050","2,000"
"21-May-2024","25-Jul-2024","CE","23,000.00","557.10","618.10","551.55","589.60","586.00","589.60","49,025","1,15,61,50,778.75","2,85,75,778.75","1,15,050","5,600"
"18-May-2024","25-Jul-2024","CE","23,000.00","545.95","560.60","523.65","557.05","558.55","557.05","21,700","51,08,89,983.75","1,17,89,983.75","1,09,450","-2,000"
"17-May-2024","25-Jul-2024","CE","23,000.00","515.40","538.15","499.60","523.35","526.35","523.35","56,100","1,31,96,71,886.25","2,93,71,886.25","1,11,450","11,225"
"16-May-2024","25-Jul-2024","CE","23,000.00","489.00","536.25","435.00","523.35","522.40","523.35","47,450","1,11,42,73,010.00","2,29,23,010.00","1,00,225","8,000"
"15-May-2024","25-Jul-2024","CE","23,000.00","506.65","506.65","450.75","475.75","474.75","475.75","42,550","99,88,09,716.25","2,01,59,716.25","92,225","4,300"
"14-May-2024","25-Jul-2024","CE","23,000.00","497.25","507.00","460.00","494.30","494.80","494.30","35,750","83,96,64,485.00","1,74,14,485.00","87,925","2,475"
"13-May-2024","25-Jul-2024","CE","23,000.00","429.00","486.00","393.70","480.50","485.95","480.50","75,200","1,76,17,50,922.50","3,21,50,922.50","85,450","9,000"
"10-May-2024","25-Jul-2024","CE","23,000.00","395.00","445.95","395.00","425.75","425.00","425.75","80,650","1,88,91,29,436.25","3,41,79,436.25","76,450","4,175"
"09-May-2024","25-Jul-2024","CE","23,000.00","519.00","519.00","390.10","398.85","395.00","398.85","48,475","1,13,66,48,198.75","2,17,23,198.75","72,275","8,450"
"08-May-2024","25-Jul-2024","CE","23,000.00","518.10","554.25","494.05","519.40","515.00","519.40","44,725","1,05,20,65,826.25","2,33,90,826.25","63,825","10,025"
"07-May-2024","25-Jul-2024","CE","23,000.00","620.00","624.50","518.85","531.75","530.50","531.75","36,625","86,24,56,306.25","2,00,81,306.25","53,800","9,475"
"06-May-2024","25-Jul-2024","CE","23,000.00","639.80","657.15","596.00","612.35","614.50","612.35","19,375","45,76,86,908.75","1,20,61,908.75","44,325","3,350"
"03-May-2024","25-Jul-2024","CE","23,000.00","717.00","740.50","573.90","612.00","605.80","612.00","28,275","66,83,97,926.25","1,80,72,926.25","40,975","4,575"
"02-May-2024","25-Jul-2024","CE","23,000.00","618.65","689.00","612.75","673.90","679.00","673.90","29,250","69,22,25,711.25","1,94,75,711.25","36,400","5,500"
